nickname,subject,grade,class_grade,std,class_high_grade,credits,class_type,r_score
9zkrem,Discrete Math,86.0,84.0,9.0,90.0,2.66,Yes,31.81
9zkrem,Calculus 2,90.0,87.0,8.0,90.0,2.33,Yes,32.41
